ff861f52a0005a{"ppm": 501, "dt": "2020-11-25T16:59:23.969961"}
ff861f72a00058{"ppm": 503, "dt": "2020-11-25T16:59:56.031009"}
ff86262a00048{"ppm": 518, "dt": "2020-11-25T17:00:28.091779"}
ff86292a00045{"ppm": 521, "dt": "2020-11-25T17:01:00.152920"}
ff86202a0004e{"ppm": 512, "dt": "2020-11-25T17:01:32.214238"}
ff86202a0004e{"ppm": 512, "dt": "2020-11-25T17:02:04.275192"}
ff861f82a00057{"ppm": 504, "dt": "2020-11-25T17:02:36.335795"}
ff861f02a0005f{"ppm": 496, "dt": "2020-11-25T17:03:08.371539"}
ff861e62a00069{"ppm": 486, "dt": "2020-11-25T17:03:40.432790"}
ff861e02a0006f{"ppm": 480, "dt": "2020-11-25T17:04:12.493960"}
ff861dc2a00073{"ppm": 476, "dt": "2020-11-25T17:04:44.551213"}
ff861d72a00078{"ppm": 471, "dt": "2020-11-25T17:05:16.612446"}
ff861d72a00078{"ppm": 471, "dt": "2020-11-25T17:05:48.673538"}
ff861d32a0007c{"ppm": 467, "dt": "2020-11-25T17:06:20.734710"}
ff861d02a0007f{"ppm": 464, "dt": "2020-11-25T17:06:52.795942"}
ff861cb2a00084{"ppm": 459, "dt": "2020-11-25T17:07:24.856778"}
ff861c92a00086{"ppm": 457, "dt": "2020-11-25T17:07:56.917409"}
ff861c82a00087{"ppm": 456, "dt": "2020-11-25T17:08:28.978486"}
ff861cf2a00080{"ppm": 463, "dt": "2020-11-25T17:09:01.039777"}
ff861ca2a00085{"ppm": 458, "dt": "2020-11-25T17:09:33.100148"}
ff861c42a0008b{"ppm": 452, "dt": "2020-11-25T17:10:05.160911"}
ff861c12a0008e{"ppm": 449, "dt": "2020-11-25T17:10:37.222652"}
ff861c62a00089{"ppm": 454, "dt": "2020-11-25T17:11:09.282595"}
ff861c92a00086{"ppm": 457, "dt": "2020-11-25T17:11:41.342522"}
ff861cd2a00082{"ppm": 461, "dt": "2020-11-25T17:12:13.403291"}
